Name;Operation;OperationParameters;SequenceNumber;InputSize;OutputSize;MsProcessing;MsDuration
ChineseCG;SCALING;HRES 320 x VRES 191;1;773808;45858;198;2000
ChineseCG;SCALING;HRES 320 x VRES 191;2;4412783;141456;393;2000
ChineseCG;SCALING;HRES 320 x VRES 191;3;3654508;160704;396;2000
ChineseCG;SCALING;HRES 320 x VRES 191;4;3928855;136838;412;2000
ChineseCG;SCALING;HRES 320 x VRES 191;5;4380292;99810;392;2000
ChineseCG;SCALING;HRES 320 x VRES 191;6;4157146;108990;388;2000
ChineseCG;SCALING;HRES 304 x VRES 181;1;773808;53904;247;2000
ChineseCG;SCALING;HRES 304 x VRES 181;2;4412783;160378;420;2000
ChineseCG;SCALING;HRES 304 x VRES 181;3;3654508;172264;415;2000
ChineseCG;SCALING;HRES 304 x VRES 181;4;3928855;160132;437;2000
ChineseCG;SCALING;HRES 304 x VRES 181;5;4380292;149200;423;2000
ChineseCG;SCALING;HRES 304 x VRES 181;6;4157146;158952;420;2000
ChineseCG;SCALING;HRES 288 x VRES 171;1;773808;48134;208;2000
ChineseCG;SCALING;HRES 288 x VRES 171;2;4412783;146322;401;2000
ChineseCG;SCALING;HRES 288 x VRES 171;3;3654508;164010;392;2000
ChineseCG;SCALING;HRES 288 x VRES 171;4;3928855;150848;413;2000
ChineseCG;SCALING;HRES 288 x VRES 171;5;4380292;121056;400;2000
ChineseCG;SCALING;HRES 288 x VRES 171;6;4157146;132990;395;2000
ChineseCG;SCALING;HRES 256 x VRES 152;1;773808;44306;206;2000
ChineseCG;SCALING;HRES 256 x VRES 152;2;4412783;141142;368;2000
ChineseCG;SCALING;HRES 256 x VRES 152;3;3654508;154446;361;2000
ChineseCG;SCALING;HRES 256 x VRES 152;4;3928855;136714;376;2000
ChineseCG;SCALING;HRES 256 x VRES 152;5;4380292;116114;370;2000
ChineseCG;SCALING;HRES 256 x VRES 152;6;4157146;128986;366;2000
ChineseCG;SCALING;HRES 240 x VRES 143;1;773808;37668;172;2000
ChineseCG;SCALING;HRES 240 x VRES 143;2;4412783;128542;375;2000
ChineseCG;SCALING;HRES 240 x VRES 143;3;3654508;132852;336;2000
ChineseCG;SCALING;HRES 240 x VRES 143;4;3928855;111888;353;2000
ChineseCG;SCALING;HRES 240 x VRES 143;5;4380292;93950;348;2000
ChineseCG;SCALING;HRES 240 x VRES 143;6;4157146;102748;342;2000
gears;SCALING;HRES 300 x VRES 200;1;626777;71600;165;2000
gears;SCALING;HRES 300 x VRES 200;2;1430183;79112;251;2000
gears;SCALING;HRES 300 x VRES 200;3;618471;102246;157;2000
gears;SCALING;HRES 300 x VRES 200;4;754680;55524;158;2000
gears;SCALING;HRES 300 x VRES 200;5;826924;98404;167;2000
gears;SCALING;HRES 300 x VRES 200;6;1061395;156378;222;2000
gears;SCALING;HRES 285 x VRES 190;1;626777;73038;203;2000
gears;SCALING;HRES 285 x VRES 190;2;1430183;80612;297;2000
gears;SCALING;HRES 285 x VRES 190;3;618471;99858;194;2000
gears;SCALING;HRES 285 x VRES 190;4;754680;53386;196;2000
gears;SCALING;HRES 285 x VRES 190;5;826924;95428;205;2000
gears;SCALING;HRES 285 x VRES 190;6;1061395;147624;253;2000
gears;SCALING;HRES 270 x VRES 180;1;626777;69864;195;2000
gears;SCALING;HRES 270 x VRES 180;2;1430183;75020;267;2000
gears;SCALING;HRES 270 x VRES 180;3;618471;94522;187;2000
gears;SCALING;HRES 270 x VRES 180;4;754680;50120;190;2000
gears;SCALING;HRES 270 x VRES 180;5;826924;92104;196;2000
gears;SCALING;HRES 270 x VRES 180;6;1061395;146442;249;2000
gears;SCALING;HRES 240 x VRES 160;1;626777;62766;171;2000
gears;SCALING;HRES 240 x VRES 160;2;1430183;65714;238;2000
gears;SCALING;HRES 240 x VRES 160;3;618471;86090;163;2000
gears;SCALING;HRES 240 x VRES 160;4;754680;43860;168;2000
gears;SCALING;HRES 240 x VRES 160;5;826924;80324;173;2000
gears;SCALING;HRES 240 x VRES 160;6;1061395;127042;216;2000
gears;SCALING;HRES 225 x VRES 150;1;626777;59838;172;2000
gears;SCALING;HRES 225 x VRES 150;2;1430183;61678;237;2000
gears;SCALING;HRES 225 x VRES 150;3;618471;80742;165;2000
gears;SCALING;HRES 225 x VRES 150;4;754680;40844;167;2000
gears;SCALING;HRES 225 x VRES 150;5;826924;78428;174;2000
gears;SCALING;HRES 225 x VRES 150;6;1061395;128316;216;2000
news;SCALING;HRES 320 x VRES 176;1;468745;120694;406;2000
news;SCALING;HRES 320 x VRES 176;2;445974;124398;406;2000
news;SCALING;HRES 320 x VRES 176;3;463570;116842;411;2000
news;SCALING;HRES 320 x VRES 176;4;486059;113894;415;2000
news;SCALING;HRES 320 x VRES 176;5;428082;143322;399;2000
news;SCALING;HRES 320 x VRES 176;6;443249;118506;409;2000
news;SCALING;HRES 304 x VRES 167;1;468745;154850;484;2000
news;SCALING;HRES 304 x VRES 167;2;445974;156950;478;2000
news;SCALING;HRES 304 x VRES 167;3;463570;150050;484;2000
news;SCALING;HRES 304 x VRES 167;4;486059;147542;491;2000
news;SCALING;HRES 304 x VRES 167;5;428082;177752;471;2000
news;SCALING;HRES 304 x VRES 167;6;443249;157372;481;2000
news;SCALING;HRES 288 x VRES 158;1;468745;115988;449;2000
